Statistic Label,MONTH,Type of Residential Property,UNIT,VALUE
Percentage Change over 3 months for Residential Property Price Index,2014 March,Dublin - houses,%,2.1
Percentage Change over 3 months for Residential Property Price Index,2014 March,Dublin City - houses,%,3.4
Percentage Change over 3 months for Residential Property Price Index,2014 March,Dun Laoghaire-Rathdown - houses,%,3.2
Percentage Change over 3 months for Residential Property Price Index,2014 March,Fingal - houses,%,0.5
Percentage Change over 3 months for Residential Property Price Index,2014 March,South Dublin - houses,%,4.4
Percentage Change over 3 months for Residential Property Price Index,2014 March,National excluding Dublin - houses,%,-0.6
Percentage Change over 3 months for Residential Property Price Index,2014 March,Border - houses,%,-5
Percentage Change over 3 months for Residential Property Price Index,2014 March,Midland - houses,%,-0.3
Percentage Change over 3 months for Residential Property Price Index,2014 March,West - houses,%,-2.7
Percentage Change over 3 months for Residential Property Price Index,2014 March,Mid-East - houses,%,3.2
Percentage Change over 3 months for Residential Property Price Index,2014 March,Mid-West - houses,%,0.6
Percentage Change over 3 months for Residential Property Price Index,2014 March,South-East - houses,%,4
Percentage Change over 3 months for Residential Property Price Index,2014 March,South-West - houses,%,0.7
Percentage Change over 3 months for Residential Property Price Index,2014 April,National - houses,%,3.2
Percentage Change over 3 months for Residential Property Price Index,2014 April,Dublin - houses,%,5.4
Percentage Change over 3 months for Residential Property Price Index,2014 April,Dublin City - houses,%,5.6
Percentage Change over 3 months for Residential Property Price Index,2014 April,Dun Laoghaire-Rathdown - houses,%,2.1
Percentage Change over 3 months for Residential Property Price Index,2014 April,Fingal - houses,%,3.9
Percentage Change over 3 months for Residential Property Price Index,2014 April,South Dublin - houses,%,7
Percentage Change over 3 months for Residential Property Price Index,2014 April,National excluding Dublin - houses,%,0.8
Percentage Change over 3 months for Residential Property Price Index,2014 April,Border - houses,%,0.5
Percentage Change over 3 months for Residential Property Price Index,2014 April,Midland - houses,%,2.8
Percentage Change over 3 months for Residential Property Price Index,2014 April,West - houses,%,-1.4
Percentage Change over 3 months for Residential Property Price Index,2014 April,Mid-East - houses,%,2.8
Percentage Change over 3 months for Residential Property Price Index,2014 April,Mid-West - houses,%,-2
Percentage Change over 3 months for Residential Property Price Index,2014 April,South-East - houses,%,4
Percentage Change over 3 months for Residential Property Price Index,2014 April,South-West - houses,%,0.9
Percentage Change over 3 months for Residential Property Price Index,2014 May,National - houses,%,5.4
Percentage Change over 3 months for Residential Property Price Index,2014 May,Dublin - houses,%,8.2
Percentage Change over 3 months for Residential Property Price Index,2014 May,Dublin City - houses,%,7.1
Percentage Change over 3 months for Residential Property Price Index,2014 May,Dun Laoghaire-Rathdown - houses,%,1.5
Percentage Change over 3 months for Residential Property Price Index,2014 May,Fingal - houses,%,9
Percentage Change over 3 months for Residential Property Price Index,2014 May,South Dublin - houses,%,9.5
Percentage Change over 3 months for Residential Property Price Index,2014 May,National excluding Dublin - houses,%,2.4
Percentage Change over 3 months for Residential Property Price Index,2014 May,Border - houses,%,3.2
Percentage Change over 3 months for Residential Property Price Index,2014 May,Midland - houses,%,3.1
Percentage Change over 3 months for Residential Property Price Index,2014 May,West - houses,%,0.8
Percentage Change over 3 months for Residential Property Price Index,2014 May,Mid-East - houses,%,3.4
Percentage Change over 3 months for Residential Property Price Index,2014 May,Mid-West - houses,%,-0.6
Percentage Change over 3 months for Residential Property Price Index,2014 May,South-East - houses,%,4
Percentage Change over 3 months for Residential Property Price Index,2014 May,South-West - houses,%,0.4
Percentage Change over 3 months for Residential Property Price Index,2014 June,National - houses,%,7.8
Percentage Change over 3 months for Residential Property Price Index,2014 June,Dublin - houses,%,11.2
Percentage Change over 3 months for Residential Property Price Index,2014 June,Dublin City - houses,%,10.4
Percentage Change over 3 months for Residential Property Price Index,2014 June,Dun Laoghaire-Rathdown - houses,%,3.8
Percentage Change over 3 months for Residential Property Price Index,2014 June,Fingal - houses,%,10.4
Percentage Change over 3 months for Residential Property Price Index,2014 June,South Dublin - houses,%,9.3
Percentage Change over 3 months for Residential Property Price Index,2014 June,National excluding Dublin - houses,%,4.1
Percentage Change over 3 months for Residential Property Price Index,2014 June,Border - houses,%,1.4
Percentage Change over 3 months for Residential Property Price Index,2014 June,Midland - houses,%,5.5
Percentage Change over 3 months for Residential Property Price Index,2014 June,West - houses,%,3.6
Percentage Change over 3 months for Residential Property Price Index,2014 June,Mid-East - houses,%,5
Percentage Change over 3 months for Residential Property Price Index,2014 June,Mid-West - houses,%,2.3
Percentage Change over 3 months for Residential Property Price Index,2014 June,South-East - houses,%,2.7
Percentage Change over 3 months for Residential Property Price Index,2014 June,South-West - houses,%,0.6
Percentage Change over 3 months for Residential Property Price Index,2014 July,National - houses,%,8.8
Percentage Change over 3 months for Residential Property Price Index,2014 July,Dublin - houses,%,12.6
Percentage Change over 3 months for Residential Property Price Index,2014 July,Dublin City - houses,%,12.1
Percentage Change over 3 months for Residential Property Price Index,2014 July,Dun Laoghaire-Rathdown - houses,%,6.4
Percentage Change over 3 months for Residential Property Price Index,2014 July,Fingal - houses,%,12.2
Percentage Change over 3 months for Residential Property Price Index,2014 July,South Dublin - houses,%,8.7
Percentage Change over 3 months for Residential Property Price Index,2014 July,National excluding Dublin - houses,%,4.5
Percentage Change over 3 months for Residential Property Price Index,2014 July,Border - houses,%,-0.7
Percentage Change over 3 months for Residential Property Price Index,2014 July,Midland - houses,%,3.3
Percentage Change over 3 months for Residential Property Price Index,2014 July,West - houses,%,2.2
Percentage Change over 3 months for Residential Property Price Index,2014 July,Mid-East - houses,%,6.6
Percentage Change over 3 months for Residential Property Price Index,2014 July,Mid-West - houses,%,3.2
Percentage Change over 3 months for Residential Property Price Index,2014 July,South-East - houses,%,2.1
Percentage Change over 3 months for Residential Property Price Index,2014 July,South-West - houses,%,2.5
Percentage Change over 3 months for Residential Property Price Index,2014 August,National - houses,%,7.8
Percentage Change over 3 months for Residential Property Price Index,2014 August,Dublin - houses,%,10.8
Percentage Change over 3 months for Residential Property Price Index,2014 August,Dublin City - houses,%,11.3
Percentage Change over 3 months for Residential Property Price Index,2014 August,Dun Laoghaire-Rathdown - houses,%,8.7
Percentage Change over 3 months for Residential Property Price Index,2014 August,Fingal - houses,%,10.1
Percentage Change over 3 months for Residential Property Price Index,2014 August,South Dublin - houses,%,8.4
Percentage Change over 3 months for Residential Property Price Index,2014 August,National excluding Dublin - houses,%,4.5
Percentage Change over 3 months for Residential Property Price Index,2014 August,Border - houses,%,-0.5
Percentage Change over 3 months for Residential Property Price Index,2014 August,Midland - houses,%,3.1
Percentage Change over 3 months for Residential Property Price Index,2014 August,West - houses,%,2.4
Percentage Change over 3 months for Residential Property Price Index,2014 August,Mid-East - houses,%,7.4
Percentage Change over 3 months for Residential Property Price Index,2014 August,Mid-West - houses,%,0.9
Percentage Change over 3 months for Residential Property Price Index,2014 August,South-East - houses,%,1.4
Percentage Change over 3 months for Residential Property Price Index,2014 August,South-West - houses,%,4.3
